count,word,rcount
13,fighting,7
13,familiar,7
13,highest,7
13,ugly,7
13,shot,7
13,helpless,7
13,indian,7
13,rubberband,7
13,mellow,7
13,passing,7
13,bleeding,7
12,desperate,7
12,one-night,7
12,contagious,7
12,crowded,7
12,thicker,7
12,hear,7
12,sticky,7
12,repeat,7
12,o-o-h,7
12,comfortable,7
12,oh-whoa,7
12,corner,7
12,frightening,7
12,borderline,7
12,aware,7
12,greener,7
12,weird,7
12,verse,7
12,promiscuous,7
12,awful,6
12,tragic,6
12,foul,6
12,ba,6
12,eternal,6
12,vengo,6
12,unspoken,6
12,actin,6
12,cooler,6
12,summer,6
12,faster,6
12,holy,6
12,moonlit,6
12,bootylicious,6
12,angry,6
12,hollow,6
12,missing,6
12,cloudy,6
11,na,6
11,icy,6
11,friendly,6
11,dizzy,6
11,loser,6
11,milky,6
11,yah,6
11,working,6
11,constant,6
11,body,6
11,wishful,6
11,tiny,6
11,sentimental,6
11,healthy,6
11,false,6
11,ultimate,6
11,chinese,6
11,ev'ry,6
11,flash,6
11,scary,6
11,overwhelmed,6
11,hitchin,6
11,flashy,6
11,ohhh,6
11,breathless,6
11,thankful,6
11,leading,6
11,so-so,6
11,virgin,6
11,said,6
11,bended,6
11,no-one,6
11,animal,6
10,vicious,6
10,humble,6
10,prettiest,6
10,fucked,6
10,incomplete,6
10,hoo,6
10,acting,6
10,impossible,6
10,wishin,6
10,rendez-vous,6
10,drivin,6
10,obvious,6
10,sacred,6
10,urgent,6
10,t-t-totally,6
10,packed,6
10,lighter,6
10,searchin,6
10,gay,6
10,unfair,6
10,touchin,6
10,sound,6
10,mysterious,6
10,realest,6
10,shallow,5
9,lower,5
9,handsome,5
9,know,5
9,bouncin,5
9,careless,5
9,layin,5
9,latest,5
9,outrageous,5
9,all-all-all,5
9,finish,5
9,shoeshine,5
9,flip,5
9,dead-end,5
9,pale,5
9,mixed,5
9,promised,5
9,fatal,5
9,powerful,5
9,inside,5
9,baggy,5
9,groovin,5
9,numb,5
9,clumsy,5
9,triple,5
9,breathin,5
9,nitty,5
9,change,5
9,cha,5
9,expensive,5
9,dim,5
9,ohhhh,5
9,bitty,5
9,bent,5
9,weaker,5
9,blonde,5
9,bittersweet,5
9,stop,5
8,breaky,5
8,flashin,5
8,achy,5
8,driving,5
8,recall,5
8,a-break,5
8,catchin,5
8,important,5
8,fresher,5
8,m-a,5
8,worried,5
8,headin,5
8,face,5
8,voulez-vous,5
8,iswhoot,5
8,hopin,5
8,quack,5
8,blond,5
8,handy,5
8,meaner,5
8,flyin,5
8,clever,5
8,tighter,5
8,positive,5
8,seventh,5
8,freek'n,5
8,selfish,5
8,subtle,5
8,oho,5
8,one-way,5
8,diddy,5
8,flowing,5
8,reckless,5
8,regular,5
8,necessary,5
8,stay,5
8,sour,5
8,token,5
8,day,5
8,ooohooohooo,5
8,bizarre,5
8,legit,5
8,dusty,5
8,horny,5
8,northern,5
8,gritty,5
8,dyin,5
8,total,5
8,henny,5
8,crimson,5
8,eager,5
8,cutest,5
8,momma,5
8,unpredictable,4
8,chinny-chin-chin,4
8,do-do,4
7,dooby,4
7,wealthy,4
7,deadly,4
7,mi,4
7,cash,4
7,mere,4
7,nearer,4
7,splendid,4
7,listenin,4
7,uhh,4
7,daytime,4
7,untrue,4
7,mutual,4
7,married,4
7,spare,4
7,tense,4
7,fa,4
7,unnecessary,4
7,worldwide,4
7,future,4
7,people,4
7,timeless,4
7,berserk,4
7,tame,4
7,spontaneous,4
7,slim,4
7,breezy,4
7,official,4
7,ho-hey-ho-hey-ho-hey-ho,4
7,certified,4
7,classic,4
7,footloose,4
7,gyal,4
7,filled,4
7,brand-new,4
7,closest,4
7,fergalicious,4
7,upper,4
7,underground,4
7,frontin,4
7,greasy,4
7,wonder,4
7,surprised,4
7,bringin,4
7,coldest,4
7,greedy,4
7,fatter,4
7,plenty,4
7,bubbly,4
7,static,4
7,salty,4
7,pocket,4
7,counter,4
7,finger,4
7,criminal,4
7,gorgeous,4
7,exciting,4
7,likely,4
6,slick,4
6,dive,4
6,gator,4
6,syncopated,4
6,automatic,4
6,insecure,4
6,negative,4
6,fortunate,4
6,prime,4
6,overall,4
6,nighttime,4
6,blinding,4
6,bloody,4
6,tanned,4
6,complicated,4
6,outer,4
6,permanent,4
6,floss,4
6,motherfucking,4
6,draw,4
6,strangest,4
6,four-wheel,4
6,incredible,4
6,disrespectful,4
6,flashing,4
6,homeless,4
6,unhappy,4
6,mental,4
6,starry,4
6,a-a-at,4
6,got,4
6,dressed,4
6,cleanin,4
6,sweaty,4
6,perpetual,4
6,warmer,4
6,smaller,4
6,earnin,4
6,rapper,4
6,later,4
6,cypher,4
6,bomb,4
6,native,4
6,frustrated,4
6,bored,4
6,trifling,4
6,superstitious,4
6,getto,4
6,genuine,4
6,blowin,4
6,owww,4
6,tippy,4
6,beggin,4
6,toughest,4
6,do-do-do-do,4
6,chase,4
6,feedin,4
6,couple,4
6,filthy,4
6,daddys,4
6,chew,4
6,rear,4
6,healing,4
6,miny,4
6,diggady,4
6,retarded,4
6,stray,4
6,chronic,4
6,fuzzy,4
6,political,4
6,barbed,4
6,sane,4
6,hittin,3
6,follow,3
6,hazel,3
6,gon,3
6,crooked,3
6,nuthin,3
6,ill,3
6,useless,3
6,savage,3
6,luxe,3
6,painted,3
6,hoo-hoo,3
6,moral,3
6,soulful,3
6,curious,3
6,lit,3
6,smallest,3
6,flawless,3
6,burnt,3
6,stranger,3
6,mornin,3
5,coolest,3
5,social,3
5,huffin,3
5,ohohoh,3
5,treat,3
5,greenest,3
5,southside,3
5,rolling,3
5,two-way,3
5,touch,3
5,sleazy,3
5,sparkling,3
5,smile,3
5,far,3
5,cold-hearted,3
5,push,3
5,curly,3
5,devilish,3
5,dull,3
5,normal,3
5,pay,3
5,held,3
5,hardcore,3
5,ja,3
5,fourth,3
5,unwritten,3
5,cutie,3
5,erotic,3
5,tougher,3
5,spanish,3
5,kick,3
5,obsessed,3
5,possible,3
5,chromed,3
5,hateful,3
5,unsaid,3
5,present,3
5,untouched,3
5,solo,3
5,bossy,3
5,ov'r,3
5,naive,3
5,sleepy,3
5,par,3
5,inch,3
5,worthwhile,3
5,lock,3
5,sore,3
5,charming,3
5,nuh,3
5,sensitive,3
5,heartless,3
5,scarred,3
5,mucho,3
5,excited,3
5,busted,3
5,neat,3
5,aiy,3
5,gather,3
5,ancient,3
5,persuasive,3
5,try,3
5,musical,3
5,used,3
5,wiggle,3
5,freakin,3
5,awake,3
5,underwater,3
5,outfit,3
5,nother,3
5,hung,3
5,bother,3
