count,word
788,love
731,time
629,baby
567,girl
533,thing
483,way
456,night
449,man
396,day
378,life
373,heart
291,eye
285,cause
283,boy
270,world
253,ya
239,dream
196,friend
175,hand
171,mind
156,home
154,person
154,light
152,place
148,word
145,body
143,shit
139,song
136,game
134,bitch
130,tonight
129,woman
128,ass
127,nigga
124,bit
123,face
120,head
116,everybody
115,lady
112,kiss
112,money
110,sky
107,door
104,car
103,year
100,right
97,kind
96,feeling
93,bout
91,soul
90,arm
89,rock
87,inside
86,hair
86,wit
85,line
84,street
82,town
82,dance
80,brand
79,lover
76,star
74,sun
73,ride
73,child
73,road
72,foot
72,club
71,room
70,round
70,smile
68,mama
68,music
67,guy
66,chance
65,chick
65,sound
64,party
64,lot
63,tryin
62,nothin
62,let
61,kid
61,fool
61,pain
61,school
60,somebody
59,rain
59,talk
59,touch
59,floor
58,somethin
57,house
57,thought
57,jean
55,air
54,lip
54,babe
54,city
53,feelin
53,moment
52,memory
52,beat
52,end
50,niggas
50,today
49,livin
49,heaven
49,hell
49,reason
48,style
48,morning
47,brother
47,drop
47,bed
47,picture
47,wind
47,summer
47,fun
46,type
46,sex
46,change
44,gun
44,shot
44,bar
44,make
44,tear
44,piece
43,diamond
43,taste
43,look
43,phone
42,daddy
42,step
42,sea
42,start
41,ground
41,skin
41,fine
41,cat
41,shoe
41,voice
41,share
41,blue
41,water
40,dick
40,mouth
40,clothe
39,honey
39,fight
39,story
39,ooh
38,roll
37,wine
37,finger
37,minute
37,goodbye
36,need
36,gold
36,sayin
36,glass
36,spot
36,truth
35,bottle
35,land
35,ho
35,ice
34,tomorrow
34,track
34,hood
34,dog
34,hour
34,work
34,ring
33,drink
33,control
33,wall
33,sight
33,moon
33,blow
33,watch
33,tree
32,problem
32,cold
32,feel
32,flow
32,fact
32,half
31,cup
31,hip
31,hit
31,case
31,stuff
30,sign
30,dress
30,dancing
30,block
30,rest
30,knee
30,fear
30,booty
29,romance
29,emotion
29,wake
