count,word
215,girl
176,time
163,thing
158,baby
147,man
147,way
133,ya
127,love
122,cause
114,boy
107,night
99,life
86,day
82,eye
74,shit
68,ass
67,heart
64,world
64,game
59,wit
58,nigga
57,friend
55,body
54,bitch
53,club
52,face
51,lady
48,head
47,hand
45,bout
44,chick
44,mind
44,home
43,woman
41,right
40,tonight
39,car
38,money
38,place
34,bit
33,dream
33,round
32,song
32,rock
32,person
32,mama
32,door
31,year
31,light
31,dance
30,word
28,brand
28,street
28,jean
27,ride
27,somethin
27,kiss
27,everybody
26,nothin
26,room
26,drop
25,kind
25,tryin
25,school
25,inside
25,party
24,house
24,hair
23,mouth
23,sex
23,arm
23,floor
22,type
22,hood
22,niggas
21,let
21,pain
21,kid
21,thought
21,thang
21,sky
21,reason
21,lot
20,smile
20,foot
20,pop
20,talk
20,ring
20,shorty
20,clothe
20,line
20,ho
19,somebody
19,sun
19,beat
19,style
19,town
18,dude
18,hell
18,phone
18,change
18,guy
18,chance
17,shoe
17,livin
17,feelin
17,dog
17,feeling
17,soul
17,road
16,look
16,drink
16,spot
16,hip
16,ice
16,step
16,bottle
16,da
16,work
16,diamond
16,wheel
16,bar
15,watch
15,mo
15,bag
15,half
15,lip
15,booty
15,music
15,breath
15,fun
14,skin
14,gon
14,dick
14,dress
14,end
14,pussy
14,bed
14,need
14,fool
14,shot
14,sound
14,chain
14,pimp
14,finger
14,ground
13,story
13,case
13,wife
13,picture
13,lane
13,cool
13,hoe
13,problem
13,air
13,block
13,crib
13,star
13,wall
13,today
13,pant
13,heaven
13,tellin
12,heel
12,babe
12,taste
12,freak
12,damn
12,couple
12,feel
12,whip
12,leg
12,shawty
12,make
12,goodbye
12,trip
12,player
12,sayin
12,fight
12,city
12,daddy
12,cat
12,rap
11,gun
11,thug
11,share
11,flow
11,cop
11,knee
11,glass
11,piece
11,deal
11,gold
11,brain
11,bone
11,pimpin
11,ball
11,rain
11,screen
11,truth
11,laugh
11,track
11,key
11,try
11,moment
10,homie
10,play
10,team
10,ooh
10,water
10,plan
10,hater
10,fact
10,mile
10,park
10,minute
10,break
10,hit
10,fame
10,walk
10,king
10,voice
10,thigh
10,blow
10,tv
10,holla
10,girlfriend
10,sense
10,record
10,roll
10,attention
10,brother
9,high
9,law
9,tomorrow
9,fine
9,mami
9,nose
9,cold
9,suit
9,mood
9,weather
9,range
9,matter
9,wrist
9,touch
9,drive
9,weed
9,week
9,memory
9,check
9,dope
9,view
9,niggaz
9,chest
9,fear
9,vibe
9,wing
9,stack
9,direction
9,mistake
9,slow
9,dollar
9,lover
9,fan
9,tongue
9,sight
8,doubt
8,conversation
8,cup
8,page
8,bow
8,butt
8,boss
8,class
8,corner
8,job
8,pair
8,stuff
8,beam
8,morning
8,stage
8,mess
8,moon
8,trick
8,stick
8,bank
8,child
8,wine
8,passion
8,cash
8,leather
8,rapper
8,family
7,sure
7,hate
7,panty
7,dad
7,seat
7,peace
7,dime
7,bust
7,label
7,blue
7,death
7,business
7,ghetto
7,toe
7,number
7,model
7,vision
7,rest
7,color
7,faith
7,crowd
7,tear
7,fashion
7,list
7,jumpin
7,pick
7,start
7,pressure
7,wood
7,ohh
7,neck
7,candy
7,ballin
