count,word
309,baby
276,girl
199,night
178,time
165,love
154,thing
145,bitch
126,life
109,tonight
98,way
94,hitta
81,diamond
74,boy
74,nigga
74,rock
71,day
63,cause
62,heart
62,sky
60,chick
59,touch
59,hand
57,shit
55,world
54,man
52,place
52,eye
52,song
51,dream
49,bass
47,solo
46,friend
40,body
40,money
39,ya
38,light
38,bit
38,niggas
37,ride
37,kid
36,lady
36,mind
36,ass
35,home
34,road
33,problem
33,bout
33,everybody
32,star
30,head
30,romance
29,floor
28,ooh
28,game
28,word
27,talk
26,round
25,right
25,kiss
24,tear
24,dancing
24,age
24,fall
23,jean
23,youre
23,awake
23,let
23,kind
22,dollar
22,dance
22,bed
22,feeling
21,town
21,somethin
21,club
21,party
20,shot
20,soul
19,seat
19,hoe
18,fun
18,hair
18,track
18,brand
18,sun
17,ho
17,finger
17,cup
17,smile
17,air
16,hell
15,drop
15,glass
15,person
15,street
15,livin
15,bottle
15,break
15,somebody
14,motherfucker
14,door
14,guy
14,music
14,summer
14,la-laaa
14,country
13,lip
13,pant
13,start
13,make
13,taste
13,house
13,car
13,foot
13,hoo
13,hood
12,fight
12,line
12,drink
12,team
12,damn
12,come
12,applause
12,thought
12,shoe
12,arm
12,ground
12,shade
12,truck
12,woman
12,wish
12,mama
12,goodbye
12,dick
12,memory
12,pussy
12,tomorrow
12,moment
12,room
11,piece
11,face
11,moon
11,year
11,city
11,beat
11,luck
11,knife
11,flight
11,buzz
11,moonlight
10,flame
10,emotion
10,beer
10,bar
10,honey
10,inside
9,window
9,feelin
9,drunk
9,oooh
9,skin
9,spot
9,lot
9,ice
9,condo
9,tobacco
9,pain
9,gold
9,bag
9,feel
9,nightmare
8,mouth
8,type
8,shine
8,wave
8,nina
8,daddy
8,plan
8,wit
8,climax
8,truth
8,bullet
8,clap
8,lane
8,couple
8,water
8,red
8,stay
8,anybody
8,minute
8,gon
8,la
8,skirt
8,lover
7,lie
7,grass
7,wine
7,ball
7,wake
7,summertime
7,nothin
7,high
7,drive
7,weed
7,babe
7,heel
7,neck
7,dope
7,animal
7,picture
7,stuff
7,block
7,sound
7,train
7,paint
7,control
7,chain
7,matter
7,limit
7,stop
7,scar
7,school
7,ship
7,airplane
7,class
7,radio
7,lion
7,wind
6,work
6,fan
6,college
6,tune
6,storm
6,dougie
6,bury
6,knee
6,roll
6,phone
6,squad
6,weather
6,sister
6,race
6,gun
6,whistle
6,pitch
6,hotel
6,bone
6,push
6,story
6,sayin
6,pocket
6,watch
6,beast
6,wrist
6,distance
6,style
6,angel
6,booty
6,morning
6,sugar
6,end
6,ring
6,loud
6,nail
6,dog
6,brain
6,catfish
6,match
6,satin
6,shooting
6,hush
5,space
5,figure
5,yea
5,view
5,half
5,bunch
5,shorty
5,pair
5,fear
5,trouble
5,pumpin
5,sin
5,farm
5,butt
5,guitar
5,jump
5,pop
5,standing
5,cloud
5,sippin
5,pretend
5,death
5,deal
5,map
5,cold
5,redneck
5,trigger
5,fool
5,kick
5,crack
5,mini
5,blood
5,dress
5,faith
5,flow
5,dust
5,suit
5,mud
5,t-shirt
5,shinin
5,news
5,tattoo
5,sucker
5,sittin
5,hater
5,play
5,look
5,pound
5,daughter
5,record
5,liquor
5,cigarette
5,couch
5,highway
5,self
5,fever
5,beauty
5,park
5,south
5,order
5,trippin
5,toe
5,freak
5,stripper
5,horse
5,building
4,notch
4,mirror
4,close
4,rollin
4,shooter
4,rule
4,drug
4,tide
4,leaf
4,passion
4,peace
4,noise
4,corner
4,slow
4,lipstick
4,lock
4,purp
4,treasure
4,bringin
4,stain
4,melody
4,mile
4,underwear
4,hop
4,gown
4,ego
4,coat
4,homie
4,tryin
4,pie
4,mayhem
4,gate
4,dime
4,maze
4,king
4,shame
4,motherfucking
4,act
4,check
4,wire
4,closer
4,ga
4,guess
4,number
4,burning
4,swimming
4,castle
4,finding
4,laugh
4,backwood
4,roof
4,free-for-all
4,dirt
4,volume
4,band
4,bang
4,freedom
4,uptown
4,rebel
4,whisper
4,pearl
4,boom
4,run
4,monster
4,tire
4,child
4,sleeping
4,hammer
4,middle
4,wing
4,sex
4,sea
4,fame
4,sunshine
4,mom
4,buck
4,dinner
4,attention
4,i-i-i
4,list
4,slide
4,thank
4,model
4,ticket
4,smoking
4,case
4,stunt
4,applause-plause
4,catch
4,live
4,dive
4,plane
4,muthafucker
4,outside
4,tip
4,seven-foot
4,birthday
4,shark
4,scream
4,hour
4,underdog
4,droppin
4,excuse
4,crystal
4,hella
4,contigo
4,shoulder
4,rap
4,daddys
3,circle
3,dreamin
3,bucket
3,gram
3,basement
3,little
3,whop
3,widow
3,gas
3,low
3,halo
3,coulda
3,rush
3,motion
3,sock
3,boi
3,cheerio
3,en
3,living
3,land
3,think
3,salary
3,art
3,cell
3,streetlight
3,lighter
3,leather
3,billionaire
3,clay
3,pour
3,sense
3,drama
3,tour
3,company
3,crew
3,point
3,question
3,crush
3,cash
3,stewardess
3,video
3,booth
3,worry
3,tea
3,fence
3,sand
3,breeze
3,heaven
3,tv
3,highlight
3,blow
3,decision
3,table
3,gravel
3,pleasure
3,mhmm
3,jet
3,x4
3,stripe
3,spillin
3,edge
3,reason
3,dash
3,swisher
3,kush
3,vibe
3,field
3,print
3,hooray
3,grip
3,hard
3,try
3,brokenness
3,glove
3,trip
3,hit
3,return
3,sight
3,help
3,alcohol
3,fist
3,belt
3,kit
3,imperfection
3,today
3,nut
3,faker
3,answer
3,travel
3,turn
3,leave
3,cat
3,path
3,scene
3,puttin
3,brother
3,cab
3,wheel
3,cake
