,artist,count,year
223,Jimmy Cliff,1,1994
224,Ke$ha,1,2012
225,4 P.M.,1,1995
226,Son by Four,1,2000
227,Keyshia Cole,1,2006
228,Deep Purple,1,1973
229,Sister Sledge,2,1979
230,Floetry,1,2003
231,Mike Posner,1,2011
232,Miley Cyrus,2,2008
233,James Ingram,1,1990
234,The Moments,1,1970
235,Macklemore and Ryan Lewis,1,2014
236,OneRepublic,1,2011
237,Fat Joe,1,2005
238,Joey Scarbury,1,1981
239,Olivia Newton-John,2,1982
240,Sting,1,1988
241,Big Sean,1,2012
242,Elvis Presley,1,1970
243,Prince,1,1993
244,Elton John,3,1975
245,Pablo Cruise,1,1977
246,112,1,1996
247,Air Supply,2,1981
248,Jay Z,1,2013
249,Styx,1,1980
250,Mr. Cheeks,1,2002
251,Anne Murray,2,1980
252,The Bangles,1,1986
253,Hammer,2,1992
254,Lloyd,2,2007
255,Linda Ronstadt,1,1987
256,Bon Jovi,1,1986
257,Rome,1,1997
258,Anne Murray,1,1973
259,Larry Groce,1,1976
260,The Osmonds,2,1971
261,Madonna,4,1987
262,Toni Braxton,1,2000
263,Soul Asylum,1,1995
264,Dr. Hook and The Medicine Show,1,1972
265,Dolly Parton,1,1981
266,Santana,1,2003
267,Gavin DeGraw,1,2008
268,Avril Lavigne,2,2007
269,The Spinners,2,1980
270,Boys Like Girls,1,2007
271,Billy Idol,2,1987
272,Smokey Robinson,1,1987
273,Guns N' Roses,1,1988
274,Barbra Streisand,1,1980
275,The Clash,1,1983
276,Bon Jovi,1,2006
277,Three Dog Night,1,1974
278,Leo Sayer,1,1981
279,3 Doors Down,2,2003
280,Olivia Newton-John,1,1981
281,The Go-Go's,3,1982
282,Johnny Rivers,1,1973
283,Estelle,1,2008
284,Aerosmith,2,1993
285,Brad Paisley,1,2011
286,The Beach Boys,1,1988
287,Audioslave,1,2003
288,Eagles,3,1980
289,Aerosmith,1,2001
290,Miguel,1,2012
291,'N Sync,1,1998
292,Aerosmith,1,1977
293,Brandy,1,1998
294,Madonna,3,1984
295,Drake,2,2014
296,Kim Carnes,1,1980
297,Skee-Lo,1,1995
298,Keith Sweat,2,1997
299,Glen Campbell,1,1977
300,Kenny Chesney,2,2004
301,Melanie,1,1972
302,The Cars,1,1986
303,Don McLean,1,1981
304,Eminem,2,2010
305,DJ Sammy,1,2002
306,Hi-Five,2,1991
307,Maroon 5,1,2004
308,OneRepublic,1,2008
309,Faith Evans,1,2002
310,Sheryl Crow,1,1997
311,Shania Twain,1,2003
312,Queen,1,1976
313,The Isley Brothers,1,1973
314,Billy Joel,2,1990
315,Thompson Square,1,2011
316,a-ha,1,1985
317,The KLF,1,1992
318,Lord Tariq and Peter Gunz,1,1998
319,Curtis Mayfield,1,1973
320,Keith Sweat,1,1990
321,The Grass Roots,1,1971
322,Billy Ocean,1,1988
323,Donell Jones,2,2000
324,Genesis,3,1992
325,Robin McNamara,1,1970
326,R. Kelly,1,2004
327,The Carpenters,2,1973
328,Dino,1,1993
329,Dr. Buzzard's Original Savannah Band,1,1977
330,MKTO,1,2014
331,Kansas,1,1977
332,Cherish,1,2006
333,The Black Eyed Peas,4,2010
334,Nick Gilder,1,1978
335,Moving Pictures,1,1983
336,Billy Preston,1,1980
337,Bananarama,1,1987
338,Ryan Cabrera,1,2005
339,Little Big Town,1,2012
340,T-Pain,1,2012
341,Alan Jackson,1,2003
342,Kris Kristofferson,1,1973
343,The Alan Parsons Project,1,1982
344,Rupert Holmes,2,1980
345,Chris Brown,3,2006
346,Prince,1,1989
347,Ariana Grande,1,2013
348,Sting,1,1991
349,Nelly,1,2006
350,Das EFX,1,1992
351,Snoop Dogg,1,2004
352,Sweet,1,1975
353,Bruce Springsteen,3,1985
354,Duran Duran,2,1993
355,Don Henley,1,1989
356,Carly Simon,1,1973
357,Selena Gomez and the Scene,1,2011
358,Jewel,1,1996
359,Peter Gabriel,1,1987
360,The Allman Brothers Band,1,1973
361,Timmy T,1,1991
