position,year,title.href,title,artist,lyrics,decade,song_key
55,1977,https://en.wikipedia.org/wiki/Night_Moves_(song),Night Moves,Bob Seger and The Silver Bullet Band,x,1970,1977-55
57,1977,https://en.wikipedia.org/wiki/Heard_It_in_a_Love_Song,Heard It in a Love Song,The Marshall Tucker Band,x,1970,1977-57
58,1977,https://en.wikipedia.org/wiki/Carry_On_Wayward_Son,Carry On Wayward Son,Kansas,x,1970,1977-58
59,1977,https://en.wikipedia.org/wiki/New_Kid_in_Town,New Kid in Town,Eagles,x,1970,1977-59
67,1977,,Smoke from a Distant Fire,Sanford-Townsend Band,x,1970,1977-67
71,1977,https://en.wikipedia.org/wiki/Star_Wars_Theme/Cantina_Band,Star Wars Theme/Cantina Band,Meco,x,1970,1977-71
73,1977,,Jeans On,Lord David Dundas,x,1970,1977-73
75,1977,https://en.wikipedia.org/wiki/Keep_It_Comin%27_Love,Keep It Comin' Love,KC and the Sunshine Band,x,1970,1977-75
90,1977,https://en.wikipedia.org/wiki/Walk_This_Way,Walk This Way,Aerosmith,x,1970,1977-90
91,1977,https://en.wikipedia.org/wiki/Cherchez_La_Femme,Cherchez La Femme,Dr. Buzzard's Original Savannah Band,x,1970,1977-91
92,1977,https://en.wikipedia.org/wiki/Year_of_the_Cat_(song),Year of the Cat,Al Stewart,x,1970,1977-92
95,1977,https://en.wikipedia.org/wiki/Sorry_Seems_to_Be_the_Hardest_Word,Sorry Seems to Be the Hardest Word,Elton John,x,1970,1977-95
96,1977,https://en.wikipedia.org/wiki/Don%27t_Worry_Baby,Don't Worry Baby,B.J. Thomas,x,1970,1977-96
99,1977,,Star Wars (Main Title),London Symphony Orchestra,x,1970,1977-99
100,1977,,Devil's Gun,C.J. and Company,x,1970,1977-100
16,1978,https://en.wikipedia.org/wiki/Miss_You_(The_Rolling_Stones_song),Miss You,The Rolling Stones,x,1970,1978-16
21,1978,https://en.wikipedia.org/wiki/Feels_So_Good_(composition),Feels So Good,Chuck Mangione,x,1970,1978-21
25,1978,https://en.wikipedia.org/wiki/We_Will_Rock_You,We Will Rock You/We Are the Champions,Queen,x,1970,1978-25
42,1978,https://en.wikipedia.org/wiki/Use_ta_Be_My_Girl,Use ta Be My Girl,The O'Jays,x,1970,1978-42
52,1978,,Still the Same,Bob Seger and The Silver Bullet Band,x,1970,1978-52
57,1978,https://en.wikipedia.org/wiki/(Every_Time_I_Turn_Around)_Back_in_Love_Again,(Every Time I Turn Around) Back in Love Again,L.T.D.,x,1970,1978-57
77,1978,https://en.wikipedia.org/wiki/Serpentine_Fire,Serpentine Fire,"Earth, Wind and Fire",x,1970,1978-77
79,1978,,Falling,LeBlanc,x,1970,1978-79
99,1978,https://en.wikipedia.org/wiki/Hollywood_Nights_(song),Hollywood Nights,Bob Seger and The Silver Bullet Band,x,1970,1978-99
4,1979,https://en.wikipedia.org/wiki/Da_Ya_Think_I%27m_Sexy%3F,Da Ya Think I'm Sexy?,Rod Stewart,x,1970,1979-4
8,1979,https://en.wikipedia.org/wiki/Y.M.C.A._(song),Y.M.C.A.,Village People,x,1970,1979-8
13,1979,https://en.wikipedia.org/wiki/When_You%27re_in_Love_with_a_Beautiful_Woman,When You're in Love with a Beautiful Woman,Dr. Hook and The Medicine Show,x,1970,1979-13
15,1979,https://en.wikipedia.org/wiki/Fire_(Bruce_Springsteen_song),Fire,The Pointer Sisters,x,1970,1979-15
19,1979,https://en.wikipedia.org/wiki/What_a_Fool_Believes,What a Fool Believes,The Doobie Brothers,x,1970,1979-19
25,1979,https://en.wikipedia.org/wiki/Shake_Your_Body_(Down_to_the_Ground),Shake Your Body (Down to the Ground),The Jacksons,x,1970,1979-25
35,1979,,The Main Event/Fight,Barbra Streisand,x,1970,1979-35
38,1979,https://en.wikipedia.org/wiki/After_the_Love_Has_Gone,After the Love Has Gone,"Earth, Wind and Fire",x,1970,1979-38
46,1979,,Sharing the Night Together,Dr. Hook and The Medicine Show,x,1970,1979-46
49,1979,https://en.wikipedia.org/wiki/Music_Box_Dancer,Music Box Dancer,Frank Mills,x,1970,1979-49
55,1979,,Every 1's a Winner,Hot Chocolate,x,1970,1979-55
57,1979,https://en.wikipedia.org/wiki/Boogie_Wonderland,Boogie Wonderland,"Earth, Wind and Fire",x,1970,1979-57
65,1979,https://en.wikipedia.org/wiki/Ain%27t_No_Stoppin%27_Us_Now,Ain't No Stoppin' Us Now,McFadden and Whitehead,x,1970,1979-65
68,1979,https://en.wikipedia.org/wiki/Love_Is_the_Answer_(Utopia_song),Love Is the Answer,England Dan and John Ford Coley,x,1970,1979-68
78,1979,"https://en.wikipedia.org/wiki/September_(Earth,_Wind_%26_Fire_song)",September,"Earth, Wind and Fire",x,1970,1979-78
80,1979,https://en.wikipedia.org/wiki/Rise_(instrumental),Rise,Herb Alpert,x,1970,1979-80
89,1979,https://en.wikipedia.org/wiki/Everytime_I_Think_of_You,Everytime I Think of You,The Babys,x,1970,1979-89
90,1979,https://en.wikipedia.org/wiki/I_Got_My_Mind_Made_Up_(You_Can_Get_It_Girl),I Got My Mind Made Up (You Can Get It Girl),Instant Funk,x,1970,1979-90
91,1979,https://en.wikipedia.org/wiki/Don%27t_Stop_%27til_You_Get_Enough,Don't Stop 'til You Get Enough,Michael Jackson,x,1970,1979-91
94,1979,https://en.wikipedia.org/wiki/We%27ve_Got_Tonight,We've Got Tonight,Bob Seger and The Silver Bullet Band,x,1970,1979-94
2,1980,https://en.wikipedia.org/wiki/Another_Brick_in_the_Wall,"Another Brick in the Wall, Part II",Pink Floyd,x,1980,1980-2
11,1980,https://en.wikipedia.org/wiki/Escape_(Rupert_Holmes_song),Escape (The Piña Colada song),Rupert Holmes,x,1980,1980-11
14,1980,https://en.wikipedia.org/wiki/Working_My_Way_Back_to_You,"Working My Way Back to You/Forgive Me, Girl",The Spinners,x,1980,1980-14
22,1980,https://en.wikipedia.org/wiki/Shining_Star_(The_Manhattans_song),Shining Star,The Manhattans,x,1980,1980-22
25,1980,https://en.wikipedia.org/wiki/Sexy_Eyes_(Dr._Hook_song),Sexy Eyes,Dr. Hook,x,1980,1980-25
29,1980,https://en.wikipedia.org/wiki/Cupid_(Sam_Cooke_song),Cupid/I've Loved You for a Long Time,The Spinners,x,1980,1980-29
30,1980,https://en.wikipedia.org/wiki/Let%27s_Get_Serious_(song),Let's Get Serious,Jermaine Jackson,x,1980,1980-30
37,1980,https://en.wikipedia.org/wiki/Take_Your_Time_(Do_It_Right),Take Your Time (Do It Right),The SOS Band,x,1980,1980-37
41,1980,https://en.wikipedia.org/wiki/Brass_in_Pocket,Brass in Pocket,The Pretenders,x,1980,1980-41
42,1980,"https://en.wikipedia.org/wiki/Special_Lady_(Ray,_Goodman_%26_Brown_song)",Special Lady,"Ray, Goodman and Brown",x,1980,1980-42
46,1980,https://en.wikipedia.org/wiki/Heartache_Tonight,Heartache Tonight,Eagles,x,1980,1980-46
49,1980,,Better Love Next Time,Dr. Hook,x,1980,1980-49
51,1980,https://en.wikipedia.org/wiki/Against_the_Wind_(Bob_Seger_song),Against the Wind,Bob Seger and the Silver Bullet Band,x,1980,1980-51
53,1980,https://en.wikipedia.org/wiki/Emotional_Rescue_(song),Emotional Rescue,The Rolling Stones,x,1980,1980-53
54,1980,https://en.wikipedia.org/wiki/Rise_(instrumental),Rise,Herb Alpert,x,1980,1980-54
57,1980,https://en.wikipedia.org/wiki/You%27re_Only_Lonely_(song),You're Only Lonely,J.D. Souther,x,1980,1980-57
62,1980,https://en.wikipedia.org/wiki/I_Can%27t_Tell_You_Why,I Can't Tell You Why,Eagles,x,1980,1980-62
77,1980,,Should've Never Let You Go,Neil,x,1980,1980-77
80,1980,,I Pledge My Love,Peaches and Herb,x,1980,1980-80
81,1980,https://en.wikipedia.org/wiki/The_Long_Run_(song),The Long Run,Eagles,x,1980,1980-81
84,1980,https://en.wikipedia.org/wiki/D%C3%A9j%C3%A0_Vu_(Dionne_Warwick_song),Dejà Vu,Dionne Warwick,x,1980,1980-84
88,1980,https://en.wikipedia.org/wiki/Wait_for_Me_(Hall_%26_Oates_song),Wait for Me,Hall and Oates,x,1980,1980-88
